combo_id,run_id,P1_INITIAL_DEFENSE_SIZE,p1_enter_refuge,final_b1,final_p1,final_b2,final_p2
0,0,0,0.001,2819,102,3101,0
0,1,0,0.001,2893,61,3100,0
0,2,0,0.001,2914,52,3099,0
0,3,0,0.001,2868,77,3100,0
0,4,0,0.001,2743,135,3101,0
1,0,1,0.001,2791,92,3097,0
1,1,1,0.001,3006,23,3101,0
1,2,1,0.001,3037,16,3100,0
1,3,1,0.001,3002,17,3098,0
1,4,1,0.001,2963,45,3098,0
2,0,2,0.001,2776,91,3101,0
2,1,2,0.001,3020,18,3098,0
2,2,2,0.001,2982,20,3099,0
2,3,2,0.001,3009,20,3099,0
2,4,2,0.001,2946,33,3101,0
3,0,3,0.001,3013,17,3099,0
3,1,3,0.001,2984,10,3096,0
3,2,3,0.001,2990,24,3098,0
3,3,3,0.001,3009,18,3100,0
3,4,3,0.001,2992,12,3100,0
4,0,4,0.001,2967,18,3100,0
4,1,4,0.001,2975,22,3099,0
4,2,4,0.001,2945,22,3097,0
4,3,4,0.001,2874,16,3101,0
4,4,4,0.001,3003,18,3101,0
5,0,5,0.001,2879,15,3101,0
5,1,5,0.001,2981,26,3100,0
5,2,5,0.001,2935,20,3100,0
5,3,5,0.001,2915,11,3101,0
5,4,5,0.001,2836,17,3097,0
6,0,6,0.001,2753,21,3098,0
6,1,6,0.001,2653,13,3097,0
6,2,6,0.001,2774,12,3098,0
6,3,6,0.001,2733,17,3098,0
6,4,6,0.001,2841,23,3099,0
