frame,scenario,n_bacteria,n_phages
0,Refuge-Only,103,0
1,Refuge-Only,128,0
2,Refuge-Only,149,0
3,Refuge-Only,176,0
4,Refuge-Only,204,0
5,Refuge-Only,237,0
6,Refuge-Only,269,0
7,Refuge-Only,302,0
8,Refuge-Only,332,0
9,Refuge-Only,370,0
10,Refuge-Only,403,139
11,Refuge-Only,440,137
12,Refuge-Only,476,132
13,Refuge-Only,519,125
14,Refuge-Only,566,121
15,Refuge-Only,610,116
16,Refuge-Only,656,113
17,Refuge-Only,704,108
18,Refuge-Only,747,106
19,Refuge-Only,805,103
20,Refuge-Only,868,95
21,Refuge-Only,933,93
22,Refuge-Only,1003,85
23,Refuge-Only,1071,76
24,Refuge-Only,1145,73
25,Refuge-Only,1221,66
26,Refuge-Only,1295,62
27,Refuge-Only,1374,58
28,Refuge-Only,1447,56
29,Refuge-Only,1538,54
30,Refuge-Only,1619,50
31,Refuge-Only,1709,47
32,Refuge-Only,1798,46
33,Refuge-Only,1888,43
34,Refuge-Only,1991,39
35,Refuge-Only,2085,36
36,Refuge-Only,2176,34
37,Refuge-Only,2267,31
38,Refuge-Only,2359,30
39,Refuge-Only,2460,27
40,Refuge-Only,2563,26
41,Refuge-Only,2680,26
42,Refuge-Only,2803,24
43,Refuge-Only,2910,23
44,Refuge-Only,3039,22
45,Refuge-Only,3162,21
46,Refuge-Only,3279,20
47,Refuge-Only,3394,17
48,Refuge-Only,3511,17
49,Refuge-Only,3622,17
50,Refuge-Only,3716,16
51,Refuge-Only,3814,16
52,Refuge-Only,3899,14
53,Refuge-Only,3989,11
54,Refuge-Only,4058,10
55,Refuge-Only,4129,11
56,Refuge-Only,4195,10
57,Refuge-Only,4265,9
58,Refuge-Only,4334,8
59,Refuge-Only,4399,5
60,Refuge-Only,4463,4
61,Refuge-Only,4513,3
62,Refuge-Only,4566,4
63,Refuge-Only,4619,3
64,Refuge-Only,4667,3
65,Refuge-Only,4707,3
66,Refuge-Only,4740,3
67,Refuge-Only,4776,3
68,Refuge-Only,4817,3
69,Refuge-Only,4859,2
70,Refuge-Only,4889,2
71,Refuge-Only,4911,3
72,Refuge-Only,4934,1
73,Refuge-Only,4957,1
74,Refuge-Only,4977,1
75,Refuge-Only,4996,1
76,Refuge-Only,5011,1
77,Refuge-Only,5027,1
78,Refuge-Only,5036,1
79,Refuge-Only,5039,1
80,Refuge-Only,5038,1
81,Refuge-Only,5038,1
82,Refuge-Only,5038,1
83,Refuge-Only,5039,1
84,Refuge-Only,5039,1
85,Refuge-Only,5038,1
86,Refuge-Only,5039,1
87,Refuge-Only,5039,1
88,Refuge-Only,5039,1
89,Refuge-Only,5039,1
90,Refuge-Only,5039,1
91,Refuge-Only,5039,1
92,Refuge-Only,5039,1
93,Refuge-Only,5039,1
94,Refuge-Only,5039,1
95,Refuge-Only,5039,1
96,Refuge-Only,5039,1
97,Refuge-Only,5039,1
98,Refuge-Only,5039,1
99,Refuge-Only,5039,1
100,Refuge-Only,5039,1
101,Refuge-Only,5039,0
102,Refuge-Only,5040,0
103,Refuge-Only,5040,0
104,Refuge-Only,5040,0
105,Refuge-Only,5040,0
106,Refuge-Only,5041,0
107,Refuge-Only,5041,0
108,Refuge-Only,5041,0
109,Refuge-Only,5041,0
110,Refuge-Only,5041,0
111,Refuge-Only,5041,0
112,Refuge-Only,5041,0
113,Refuge-Only,5041,0
114,Refuge-Only,5041,0
115,Refuge-Only,5041,0
116,Refuge-Only,5041,0
117,Refuge-Only,5041,0
118,Refuge-Only,5041,0
119,Refuge-Only,5041,0
120,Refuge-Only,5041,0
121,Refuge-Only,5041,0
122,Refuge-Only,5041,0
123,Refuge-Only,5041,0
124,Refuge-Only,5041,0
125,Refuge-Only,5041,0
126,Refuge-Only,5041,0
127,Refuge-Only,5041,0
128,Refuge-Only,5041,0
129,Refuge-Only,5041,0
130,Refuge-Only,5041,0
131,Refuge-Only,5041,0
132,Refuge-Only,5041,0
133,Refuge-Only,5041,0
134,Refuge-Only,5041,0
135,Refuge-Only,5041,0
136,Refuge-Only,5041,0
137,Refuge-Only,5041,0
138,Refuge-Only,5041,0
139,Refuge-Only,5041,0
140,Refuge-Only,5041,0
141,Refuge-Only,5041,0
142,Refuge-Only,5041,0
143,Refuge-Only,5041,0
144,Refuge-Only,5041,0
145,Refuge-Only,5041,0
146,Refuge-Only,5041,0
147,Refuge-Only,5041,0
148,Refuge-Only,5041,0
149,Refuge-Only,5041,0
150,Refuge-Only,5041,0
151,Refuge-Only,5041,0
152,Refuge-Only,5041,0
153,Refuge-Only,5041,0
154,Refuge-Only,5041,0
155,Refuge-Only,5041,0
156,Refuge-Only,5041,0
157,Refuge-Only,5041,0
158,Refuge-Only,5041,0
159,Refuge-Only,5041,0
160,Refuge-Only,5041,0
161,Refuge-Only,5041,0
162,Refuge-Only,5041,0
163,Refuge-Only,5041,0
164,Refuge-Only,5041,0
165,Refuge-Only,5041,0
166,Refuge-Only,5041,0
167,Refuge-Only,5041,0
168,Refuge-Only,5041,0
