combo_id,run_id,grid_size,n_steps,initial_bacteria_ratio,phage_burst_size,p1_enter_refuge,p2_enter_refuge,final_b1,final_p1,final_b2,final_p2
0,0,100,1000,0.1,5,0.01,0.001,7845,0,7845,0
0,1,100,1000,0.1,5,0.01,0.001,7842,2,7845,0
0,2,100,1000,0.1,5,0.01,0.001,7787,17,7845,0
0,3,100,1000,0.1,5,0.01,0.001,7844,0,7845,0
0,4,100,1000,0.1,5,0.01,0.001,7844,0,7845,0
1,0,100,1000,0.1,5,0.05,0.001,7738,32,7845,0
1,1,100,1000,0.1,5,0.05,0.001,7733,41,7845,0
1,2,100,1000,0.1,5,0.05,0.001,7845,0,7845,0
1,3,100,1000,0.1,5,0.05,0.001,7840,3,7845,0
1,4,100,1000,0.1,5,0.05,0.001,7820,15,7845,0
2,0,100,1000,0.1,5,0.1,0.001,7810,7,7845,0
2,1,100,1000,0.1,5,0.1,0.001,7845,0,7845,0
2,2,100,1000,0.1,5,0.1,0.001,7845,0,7845,0
2,3,100,1000,0.1,5,0.1,0.001,7845,0,7845,0
2,4,100,1000,0.1,5,0.1,0.001,7704,46,7845,0
